src,dst,weight
20,19,0.1114046614787614
20,141,0.10791512778011011
20,142,0.07752982688360727
20,140,0.0775118175155233
20,22,0.05571904621259617
21,20,0.11145815068732115
21,22,0.1114180289672469
21,142,0.10791512778011011
21,141,0.07752982688360727
21,143,0.07751631949125264
21,19,0.05571570293627947
22,21,0.1114180289672469
22,23,0.11140466147878396
22,143,0.10791512778011011
22,142,0.07751631949125264
22,144,0.07751181751553092
22,20,0.05571904621259617
23,24,0.11145815068732115
23,22,0.11140466147878396
23,144,0.10791512778011011
23,145,0.07752982688360727
23,143,0.07751181751553092
23,25,0.05571904621259617
24,23,0.11145815068732115
24,25,0.1114180289672469
24,145,0.10791512778011011
24,144,0.07752982688360727
24,146,0.07751631949125264
24,22,0.05571570293628512
25,24,0.1114180289672469
25,26,0.11140466147880654
25,146,0.10791512778011011
25,145,0.07751631949125264
25,147,0.07751181751553851
25,23,0.05571904621259617
26,27,0.11145815068729856
26,25,0.11140466147880654
26,147,0.10791512778011011
26,148,0.07752982688359968
26,146,0.07751181751553851
26,28,0.05571904621259052
27,26,0.11145815068729856
27,28,0.1114180289672469
27,148,0.10791512778011011
27,147,0.07752982688359968
27,149,0.07751631949125264
27,25,0.05571570293628512
28,27,0.1114180289672469
28,29,0.11140466147880654
28,149,0.10791512778011011
28,148,0.07751631949125264
28,150,0.07751181751553851
28,26,0.05571904621259052
29,30,0.11145815068729856
29,28,0.11140466147880654
29,150,0.10791512778011011
29,151,0.07752982688359968
29,149,0.07751181751553851
29,31,0.05571904621259617
30,29,0.11145815068729856
30,31,0.11141802896726948
30,151,0.10791512778011011
30,150,0.07752982688359968
30,152,0.07751631949126023
30,28,0.05571570293628512
31,30,0.11141802896726948
31,32,0.11140466147878396
31,152,0.10791512778011011
31,151,0.07751631949126023
31,153,0.07751181751553092
31,29,0.05571904621259617
32,33,0.11145815068729856
32,31,0.11140466147878396
32,153,0.10791512778011011
32,154,0.07752982688359968
32,152,0.07751181751553092
32,34,0.05571904621259052
33,32,0.11145815068729856
33,34,0.1114180289672469
33,154,0.10791512778011011
33,153,0.07752982688359968
33,155,0.07751631949125264
33,31,0.05571570293627947
34,33,0.1114180289672469
34,35,0.11140466147880654
34,155,0.10791512778011011
34,154,0.07751631949125264
34,156,0.07751181751553851
34,32,0.05571904621259052
35,36,0.11145815068729856
35,34,0.11140466147880654
35,156,0.10791512778011011
